               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.013173,           0.0077008,          0.00090593,             0.93245,             0.95064,              0.9817,             0.93603,           0.0074939,           0.0048864,          0.00032651,           0.0054471,           0.0054471,           0.0054471
                  76,            0.012991,           0.0076156,          0.00086094,             0.93137,             0.95194,             0.98173,             0.93606,           0.0074978,           0.0048853,          0.00032655,           0.0054168,           0.0054168,           0.0054168
                  77,            0.013032,           0.0075907,          0.00089316,             0.93169,             0.95119,             0.98184,             0.93634,           0.0074901,           0.0048782,          0.00032644,           0.0053865,           0.0053865,           0.0053865
                  78,            0.012987,           0.0076215,          0.00088193,             0.93193,             0.95143,             0.98186,             0.93608,            0.007502,           0.0048736,          0.00032626,           0.0053562,           0.0053562,           0.0053562
                  79,            0.013045,           0.0076256,          0.00087427,             0.93263,             0.95072,             0.98191,             0.93596,           0.0075088,           0.0048671,          0.00032649,           0.0053258,           0.0053258,           0.0053258
                  80,            0.012889,           0.0075513,          0.00088321,             0.93286,             0.95049,             0.98192,             0.93574,            0.007517,           0.0048652,          0.00032622,           0.0052955,           0.0052955,           0.0052955
                  81,            0.012899,           0.0075524,          0.00085565,             0.93286,             0.95051,             0.98193,              0.9358,           0.0075168,           0.0048667,          0.00032629,           0.0052652,           0.0052652,           0.0052652
                  82,            0.012953,           0.0076328,          0.00093172,              0.9321,             0.95132,             0.98199,             0.93571,           0.0075178,           0.0048611,          0.00032568,           0.0052349,           0.0052349,           0.0052349
                  83,            0.012722,           0.0074973,          0.00079745,             0.93239,             0.95098,             0.98202,             0.93552,           0.0075191,           0.0048618,          0.00032612,           0.0052046,           0.0052046,           0.0052046
                  84,            0.012798,           0.0075617,          0.00085544,             0.93282,             0.95082,             0.98208,             0.93521,           0.0075232,           0.0048552,          0.00032584,           0.0051743,           0.0051743,           0.0051743
                  85,            0.012741,           0.0075486,           0.0008137,              0.9325,             0.95064,             0.98208,             0.93552,           0.0075156,           0.0048541,          0.00032611,            0.005144,            0.005144,            0.005144
                  86,            0.012868,           0.0075527,          0.00089185,             0.93311,             0.95038,             0.98217,              0.9353,           0.0075156,           0.0048426,          0.00032565,           0.0051137,           0.0051137,           0.0051137
                  87,            0.012629,           0.0074813,          0.00082812,             0.93349,             0.95065,             0.98218,             0.93528,           0.0075248,           0.0048356,           0.0003258,           0.0050834,           0.0050834,           0.0050834
                  88,            0.012703,           0.0075016,          0.00087075,              0.9341,             0.95012,             0.98219,              0.9351,           0.0075348,           0.0048297,            0.000325,           0.0050531,           0.0050531,           0.0050531
                  89,            0.012605,           0.0074371,          0.00084526,             0.93417,             0.94992,             0.98224,             0.93519,           0.0075415,           0.0048191,          0.00032427,           0.0050227,           0.0050227,           0.0050227
                  90,            0.012539,           0.0074478,           0.0008526,             0.93508,             0.94938,             0.98229,             0.93529,           0.0075326,           0.0048072,           0.0003236,           0.0049924,           0.0049924,           0.0049924
                  91,            0.012593,           0.0074431,          0.00081051,             0.93479,             0.95004,             0.98232,             0.93515,            0.007534,           0.0048027,          0.00032335,           0.0049621,           0.0049621,           0.0049621
                  92,            0.012738,           0.0074971,          0.00083087,             0.93588,              0.9495,              0.9823,             0.93522,           0.0075328,           0.0047978,          0.00032272,           0.0049318,           0.0049318,           0.0049318
                  93,            0.012514,           0.0074044,           0.0007533,             0.93612,               0.949,             0.98232,             0.93543,           0.0075312,           0.0047978,          0.00032173,           0.0049015,           0.0049015,           0.0049015
                  94,            0.012444,           0.0073908,          0.00081446,             0.93594,             0.94899,             0.98237,             0.93552,           0.0075266,           0.0047908,          0.00032085,           0.0048712,           0.0048712,           0.0048712
                  95,            0.012631,           0.0075206,          0.00086482,             0.93529,             0.94913,             0.98241,             0.93563,            0.007526,           0.0047848,          0.00031925,           0.0048409,           0.0048409,           0.0048409
                  96,             0.01264,           0.0075276,          0.00086716,             0.93335,             0.95228,             0.98238,             0.93553,           0.0075328,           0.0047866,          0.00031775,           0.0048106,           0.0048106,           0.0048106
                  97,            0.012342,           0.0074021,          0.00078173,             0.93274,             0.95285,             0.98245,             0.93553,           0.0075292,           0.0047804,          0.00031759,           0.0047803,           0.0047803,           0.0047803
                  98,            0.012259,           0.0073486,          0.00078134,             0.93293,             0.95298,             0.98248,             0.93552,           0.0075315,           0.0047829,          0.00031747,             0.00475,             0.00475,             0.00475
                  99,            0.012342,           0.0073389,          0.00079411,             0.93294,             0.95295,             0.98254,             0.93571,           0.0075183,           0.0047777,          0.00031672,           0.0047197,           0.0047197,           0.0047197
                 100,             0.01235,           0.0073844,          0.00082119,             0.93231,             0.95348,             0.98254,             0.93602,             0.00751,           0.0047775,          0.00031587,           0.0046893,           0.0046893,           0.0046893
                 101,            0.012402,           0.0073907,          0.00077952,             0.93173,             0.95426,             0.98255,             0.93656,           0.0074926,           0.0047773,          0.00031454,            0.004659,            0.004659,            0.004659
                 102,            0.012215,           0.0072827,          0.00078306,             0.93176,             0.95442,             0.98258,             0.93655,           0.0074863,           0.0047675,          0.00031376,           0.0046287,           0.0046287,           0.0046287
                 103,            0.012241,           0.0073182,          0.00078125,              0.9324,             0.95394,              0.9826,             0.93698,           0.0074784,           0.0047639,          0.00031296,           0.0045984,           0.0045984,           0.0045984
                 104,            0.012268,           0.0073164,          0.00080952,             0.93207,             0.95385,             0.98265,             0.93686,           0.0074694,           0.0047565,          0.00031192,           0.0045681,           0.0045681,           0.0045681
                 105,            0.012094,           0.0072813,          0.00073995,             0.93246,             0.95361,             0.98267,             0.93736,           0.0074651,           0.0047547,          0.00031077,           0.0045378,           0.0045378,           0.0045378
                 106,            0.012076,            0.007234,          0.00072601,             0.93111,             0.95499,              0.9827,             0.93742,           0.0074476,           0.0047462,          0.00030959,           0.0045075,           0.0045075,           0.0045075
                 107,             0.01209,           0.0072678,          0.00079663,             0.93087,             0.95503,             0.98272,             0.93787,           0.0074344,           0.0047451,          0.00030879,           0.0044772,           0.0044772,           0.0044772
                 108,            0.012123,           0.0073245,           0.0007668,             0.93082,             0.95584,             0.98276,             0.93786,           0.0074262,           0.0047347,           0.0003086,           0.0044469,           0.0044469,           0.0044469
                 109,            0.011979,           0.0072282,          0.00073603,             0.93147,             0.95567,             0.98283,             0.93853,           0.0073996,           0.0047224,          0.00030813,           0.0044166,           0.0044166,           0.0044166
                 110,            0.012014,           0.0072094,          0.00074309,             0.93235,             0.95501,             0.98289,             0.93868,           0.0073895,           0.0047118,           0.0003077,           0.0043862,           0.0043862,           0.0043862
                 111,            0.012016,            0.007212,          0.00071912,             0.93306,             0.95413,             0.98293,             0.93897,            0.007369,           0.0047064,          0.00030694,           0.0043559,           0.0043559,           0.0043559
                 112,            0.012061,           0.0072289,           0.0007316,             0.93283,             0.95438,             0.98292,             0.93905,           0.0073638,           0.0047032,          0.00030633,           0.0043256,           0.0043256,           0.0043256
                 113,            0.011966,           0.0072136,          0.00077786,             0.93304,              0.9543,             0.98295,             0.93929,           0.0073539,           0.0046992,          0.00030549,           0.0042953,           0.0042953,           0.0042953
                 114,            0.011864,           0.0072434,          0.00076551,              0.9335,             0.95403,             0.98295,             0.93951,            0.007342,           0.0046932,          0.00030415,            0.004265,            0.004265,            0.004265
                 115,            0.011962,           0.0072439,          0.00075849,             0.93297,             0.95453,             0.98295,             0.93967,           0.0073359,           0.0046909,          0.00030327,           0.0042347,           0.0042347,           0.0042347
                 116,            0.011847,           0.0071503,          0.00074568,             0.93328,             0.95453,             0.98301,             0.93993,           0.0073127,           0.0046828,          0.00030234,           0.0042044,           0.0042044,           0.0042044
                 117,            0.011895,            0.007202,          0.00074588,             0.93266,             0.95543,             0.98302,             0.94003,           0.0072979,           0.0046719,          0.00030097,           0.0041741,           0.0041741,           0.0041741
                 118,            0.011911,           0.0071872,          0.00074444,             0.93286,             0.95563,             0.98304,             0.94017,            0.007288,           0.0046666,          0.00029958,           0.0041438,           0.0041438,           0.0041438
                 119,            0.011795,           0.0071944,          0.00071565,             0.93303,             0.95589,             0.98307,             0.94062,           0.0072687,           0.0046562,           0.0002986,           0.0041135,           0.0041135,           0.0041135
                 120,            0.011729,           0.0071641,          0.00075136,              0.9339,             0.95509,             0.98314,             0.94082,           0.0072429,            0.004643,          0.00029779,           0.0040831,           0.0040831,           0.0040831
                 121,            0.011827,           0.0071321,           0.0007285,             0.93372,             0.95521,             0.98314,             0.94127,           0.0072322,           0.0046395,          0.00029635,           0.0040528,           0.0040528,           0.0040528
                 122,            0.011672,           0.0070838,          0.00072351,             0.93402,             0.95574,             0.98319,             0.94159,           0.0072167,            0.004629,          0.00029501,           0.0040225,           0.0040225,           0.0040225
                 123,            0.011553,           0.0071026,          0.00069259,             0.93465,             0.95403,             0.98319,             0.94174,           0.0072071,           0.0046263,          0.00029407,           0.0039922,           0.0039922,           0.0039922
                 124,            0.011667,           0.0071336,          0.00072225,             0.93517,             0.95455,             0.98319,             0.94185,           0.0071934,           0.0046174,          0.00029235,           0.0039619,           0.0039619,           0.0039619
                 125,            0.011525,           0.0070789,          0.00069063,             0.93501,             0.95491,             0.98322,             0.94253,           0.0071724,            0.004609,          0.00029091,           0.0039316,           0.0039316,           0.0039316
                 126,            0.011539,           0.0070605,          0.00070333,             0.93534,             0.95485,              0.9832,             0.94298,           0.0071458,           0.0046031,           0.0002899,           0.0039013,           0.0039013,           0.0039013
                 127,            0.011641,           0.0070824,          0.00070674,             0.93532,             0.95537,             0.98322,             0.94281,           0.0071322,           0.0045996,          0.00028857,            0.003871,            0.003871,            0.003871
                 128,            0.011682,           0.0071404,          0.00070126,             0.93494,             0.95577,             0.98326,             0.94336,           0.0071103,           0.0045852,          0.00028693,           0.0038407,           0.0038407,           0.0038407
                 129,            0.011352,            0.006959,           0.0006595,             0.93456,             0.95607,             0.98328,             0.94348,           0.0070802,           0.0045764,          0.00028563,           0.0038104,           0.0038104,           0.0038104
                 130,            0.011445,           0.0070365,          0.00071997,              0.9354,             0.95567,             0.98333,             0.94372,           0.0070673,           0.0045687,          0.00028396,           0.0037801,           0.0037801,           0.0037801
                 131,            0.011498,           0.0070531,          0.00071538,             0.93551,             0.95602,             0.98337,             0.94426,           0.0070487,           0.0045564,          0.00028275,           0.0037497,           0.0037497,           0.0037497
                 132,             0.01143,           0.0070117,          0.00068786,             0.93587,             0.95543,             0.98343,             0.94455,           0.0070388,           0.0045502,          0.00028136,           0.0037194,           0.0037194,           0.0037194
                 133,            0.011407,           0.0070459,          0.00069652,             0.93537,             0.95626,             0.98348,             0.94474,           0.0070252,           0.0045422,          0.00027981,           0.0036891,           0.0036891,           0.0036891
                 134,            0.011375,           0.0070087,           0.0006709,             0.93592,             0.95529,             0.98347,             0.94498,           0.0070163,           0.0045374,          0.00027877,           0.0036588,           0.0036588,           0.0036588
                 135,            0.011286,           0.0069654,          0.00064951,              0.9358,              0.9566,             0.98352,             0.94488,           0.0069966,           0.0045265,          0.00027724,           0.0036285,           0.0036285,           0.0036285
                 136,            0.011388,           0.0070094,           0.0006778,             0.93608,              0.9565,             0.98354,             0.94522,            0.006978,           0.0045167,          0.00027603,           0.0035982,           0.0035982,           0.0035982
