   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
              0.9882,             0.96487,             0.98655,             0.84518,            0.016467,            0.041318,           0.0011042,             0.01056,             0.01205,                0.98,             0.00046,              2.9161,              0.8515,             0.09511,             0.06623,             0.53566,             0.92577,               1.056,             0.87699,                 0.2,                3.88,                   0,             0.01482,             0.73627,             0.35636,                   0,             0.10406,             0.47832,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.99188,             0.96539,             0.98739,             0.84984,            0.014018,            0.035032,          0.00095714,             0.00949,             0.01022,                0.98,             0.00046,              3.2367,             0.80601,             0.11587,              0.0621,             0.51858,             0.92577,             0.92009,             0.94769,                 0.2,              3.3929,                   0,              0.0159,             0.66569,             0.36515,                   0,             0.10917,             0.48453,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.0443
             0.99226,             0.96764,             0.98778,             0.85062,            0.015425,             0.04187,           0.0016191,             0.01091,             0.01064,             0.94969,             0.00047,              2.9543,             0.76322,             0.09688,             0.05941,             0.53566,              1.0011,               1.056,             0.95304,                 0.2,              3.7058,                   0,             0.01623,             0.76596,             0.36938,                   0,             0.09394,             0.40831,                   0,                   0,                   0,                 0.5,             0.94992,                   0,                   0,              3.0096
             0.99129,             0.96185,             0.98639,             0.84583,             0.03331,            0.045064,           0.0037602,              0.0081,              0.0124,             0.94498,             0.00049,              2.9726,             0.77123,              0.1214,             0.05945,             0.42812,              1.0175,             0.83183,             0.79891,                 0.2,              5.8912,                   0,             0.01646,             0.80279,             0.36252,                   0,             0.09826,             0.44789,                   0,                   0,                   0,                 0.5,             0.94587,                   0,                   0,              4.1938
             0.98962,             0.95958,             0.98613,             0.82928,            0.031351,            0.048125,           0.0039905,             0.00713,             0.01196,             0.92377,             0.00049,               3.237,             0.59356,             0.10389,              0.0489,             0.38937,             0.89229,             0.82632,             0.77221,                 0.2,               6.135,                   0,             0.01457,             0.62682,              0.4438,                   0,             0.05918,             0.32838,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.9746
             0.98997,             0.96269,             0.98611,             0.81537,            0.036202,              0.0567,           0.0053987,             0.00746,              0.0124,             0.88192,             0.00045,              2.6464,             0.74171,             0.12756,             0.05536,             0.47735,              1.3934,             0.96359,             0.77008,                 0.2,               6.135,                   0,             0.01641,             0.63653,              0.3426,                   0,             0.10549,               0.405,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              4.1938
             0.99242,             0.96373,              0.9868,             0.85514,            0.037177,            0.046391,           0.0040116,             0.00772,             0.01237,             0.94215,             0.00049,              3.1291,             0.74524,             0.11535,             0.06267,             0.42516,              1.0185,             0.82345,             0.84743,                 0.2,               6.135,                   0,             0.01657,             0.76494,             0.36474,                   0,              0.1026,             0.42336,                   0,                   0,                   0,                 0.5,             0.99412,                   0,                   0,              4.1938
             0.99033,             0.96651,              0.9858,             0.84142,            0.025324,            0.046423,           0.0038922,             0.00832,             0.01353,             0.91504,             0.00055,              3.1899,              0.9393,             0.10547,             0.05179,             0.52999,              1.0084,             0.85856,             0.85605,                 0.2,              5.3358,                   0,              0.0119,              0.7711,             0.32178,                   0,             0.08846,             0.44212,                   0,                   0,                   0,                 0.5,             0.82862,                   0,                   0,              3.6439
             0.98602,             0.96134,             0.98756,             0.83877,            0.019328,            0.035838,           0.0020761,             0.00844,             0.01581,             0.93383,             0.00059,              2.9546,             0.90518,             0.11292,             0.05199,             0.55562,              1.1204,              0.5982,             0.90264,                 0.2,              5.9589,                   0,             0.00955,             0.67304,             0.33227,                   0,             0.08388,             0.54137,                   0,                   0,                   0,                 0.5,             0.47339,                   0,                   0,              2.7438
             0.98943,             0.96992,             0.98833,             0.84397,            0.018782,             0.04809,           0.0021016,             0.00802,             0.01369,             0.93383,             0.00058,              3.0474,                0.95,             0.11221,             0.05356,             0.52999,             0.97604,             0.86021,             0.86346,                 0.2,              5.6815,                   0,             0.01163,             0.70827,             0.33057,                   0,              0.0892,             0.44765,                   0,                   0,                   0,                 0.5,             0.82036,                   0,                   0,              3.2935
